Dataset,Model,Metric,Mean,Std,Min,Max,Median
MNIST,KDM,precision,0.9793025940755488,0.011130540908738912,0.9603960396039604,0.9929328621908128,0.9821426796170556
MNIST,KDM,recall,0.9793154692676861,0.00723947207152323,0.9722772277227724,0.9918367346938776,0.9769612723159724
MNIST,KDM,f1-score,0.979282628924705,0.007736073366769584,0.968503937007874,0.9916188795765328,0.9792628116820499
MNIST,PNC,precision,0.920515392181718,0.02359087130191162,0.8883089770354906,0.96357328707719,0.9194589326168274
MNIST,PNC,recall,0.920291773601695,0.040670940185561916,0.8587443946188341,0.9788546255506608,0.916543706899873
MNIST,PNC,f1-score,0.9202507680214825,0.03087076175196857,0.8804597701149425,0.971153846153846,0.9175733457516616
Fashion-MNIST,KDM,precision,0.8823035387713436,0.09080116221579503,0.7385677308024159,0.99079754601227,0.9281733417772896
Fashion-MNIST,KDM,recall,0.8807,0.12236834194803455,0.576,0.98,0.9075
Fashion-MNIST,KDM,f1-score,0.8786702289277338,0.10055637298296079,0.6670526925303996,0.9797775530839232,0.9163759729870986
Fashion-MNIST,PNC,precision,0.8352031672966195,0.11828676546115534,0.6721536351165981,0.991578947368421,0.8618436138500344
Fashion-MNIST,PNC,recall,0.8352999999999999,0.14320540802947662,0.49,0.951,0.8734999999999999
Fashion-MNIST,PNC,f1-score,0.8327566173224922,0.12696556356665,0.5668016194331984,0.966153846153846,0.8737348511633947
MNIST-noise-σ1,KDM,precision,0.395,0.13401906995316415,0.27,0.65,0.33999999999999997
MNIST-noise-σ1,KDM,recall,0.41200000000000003,0.24943491691777595,0.13,0.88,0.38
MNIST-noise-σ1,KDM,f1-score,0.393,0.19189406799933484,0.18,0.75,0.335
MNIST-noise-σ1,PNC,precision,0.01,0.03162277660168379,0.0,0.1,0.0
MNIST-noise-σ1,PNC,recall,0.1,0.31622776601683794,0.0,1.0,0.0
MNIST-noise-σ1,PNC,f1-score,0.018,0.05692099788303083,0.0,0.18,0.0
