,precision,recall,f1-score,support
T-shirt/top,0.7853403141361257,0.9,0.8387698042870456,1000.0
Trouser,0.99079754601227,0.969,0.9797775530839231,1000.0
Pullover,0.7385677308024159,0.856,0.792959703566466,1000.0
Dress,0.9239013933547695,0.862,0.8918779099844801,1000.0
Coat,0.8078078078078078,0.807,0.8074037018509255,1000.0
Sandal,0.9401544401544402,0.974,0.9567779960707269,1000.0
Shirt,0.7922971114167813,0.576,0.6670526925303996,1000.0
Sneaker,0.9682539682539683,0.915,0.9408740359897172,1000.0
Bag,0.9324452901998097,0.98,0.9556313993174061,1000.0
Ankle boot,0.9434697855750487,0.968,0.9555774925962488,1000.0
accuracy,0.8807,0.8807,0.8807,0.8807
macro avg,0.8823035387713436,0.8807,0.8786702289277338,10000.0
weighted avg,0.8823035387713438,0.8807,0.8786702289277338,10000.0
