n_comp,encoded_size,lr,sigma,val_acc_fold_1,val_acc_fold_2,val_acc_fold_3,mean_val_acc,std_val_acc,tiempo_segundos,total_params
512,128,0.001,0.5,0.960454523563385,0.960303008556366,0.9612120985984802,0.9606565435727438,0.00039767678609963305,87.80403757095337,305025
512,128,0.001,1.0,0.9621211886405945,0.9566666483879089,0.9592424035072327,0.959343413511912,0.0022279519156728858,91.08037185668945,305025
256,128,0.001,0.1,0.9589393734931946,0.9612120985984802,0.9574242234230042,0.959191898504893,0.0015566687182135522,64.86447238922119,269441
512,64,0.001,0.5,0.9613636136054993,0.9581817984580994,0.9580302834510803,0.959191898504893,0.001536879751962617,86.92332696914673,255809
256,128,0.001,0.5,0.9589393734931946,0.9599999785423279,0.9572727084159851,0.9587373534838358,0.0011225297764859532,66.16273427009583,269441
256,64,0.001,1.0,0.9598484635353088,0.9583333134651184,0.9580302834510803,0.9587373534838358,0.0007953535721992662,58.93425750732422,236609
512,128,0.001,0.1,0.9616666436195374,0.956969678401947,0.956818163394928,0.9584848284721375,0.0022507332025372816,90.16383504867554,305025
256,64,0.001,0.1,0.9575757384300232,0.9586363434791565,0.9583333134651184,0.9581817984580994,0.0004460481032173909,64.96780467033386,236609
512,64,0.001,0.1,0.9586363434791565,0.9577272534370422,0.9559090733528137,0.9574242234230042,0.0011338344904398155,103.9558367729187,255809
256,128,0.001,1.0,0.9599999785423279,0.9580302834510803,0.9537878632545471,0.9572727084159851,0.0025920434715386883,81.5462098121643,269441
512,64,0.001,1.0,0.9571211934089661,0.9545454382896423,0.9596969485282898,0.9571211934089661,0.002103095248234913,99.87053084373474,255809
256,64,0.001,0.5,0.9542424082756042,0.9566666483879089,0.9551514983177185,0.9553535183270773,0.0009999480298704645,56.1461546421051,236609
512,128,0.0005,0.5,0.9543939232826233,0.9553030133247375,0.9545454382896423,0.9547474582990011,0.000397676786099633,96.8689534664154,305025
512,64,0.0005,0.1,0.9563636183738708,0.9545454382896423,0.953181803226471,0.9546969532966614,0.0013033813732160544,91.68728637695312,255809
512,64,0.0005,1.0,0.9545454382896423,0.9524242281913757,0.9530302882194519,0.95333331823349,0.0008920962064347818,86.55019545555115,255809
256,64,0.0005,1.0,0.9551514983177185,0.9510605931282043,0.953484833240509,0.9532323082288107,0.0016796235646811721,61.38323378562927,236609
512,128,0.0005,0.1,0.9559090733528137,0.9522727131843567,0.9492424130439758,0.9524747331937155,0.002725398928780226,93.01331758499146,305025
512,128,0.0005,1.0,0.9539393782615662,0.9507575631141663,0.9515151381492615,0.9520706931749979,0.0013570723262527732,92.66104745864868,305025
512,64,0.0005,0.5,0.9503030180931091,0.9516666531562805,0.9521211981773376,0.9513636231422424,0.0007725779773922479,93.84871435165405,255809
256,128,0.0005,1.0,0.9516666531562805,0.9501515030860901,0.9521211981773376,0.9513131181399027,0.0008420866716972004,63.38633918762207,269441
256,64,0.0005,0.5,0.9524242281913757,0.9545454382896423,0.9468181729316711,0.9512626131375631,0.0032598230655521334,67.19541692733765,236609
256,128,0.0005,0.1,0.9515151381492615,0.9501515030860901,0.9515151381492615,0.9510605931282043,0.0006428237334881558,67.65261888504028,269441
256,64,0.0005,0.1,0.9513636231422424,0.9519696831703186,0.9492424130439758,0.9508585731188456,0.0011692753397183717,59.661752462387085,236609
256,128,0.0005,0.5,0.9521211981773376,0.949848473072052,0.9501515030860901,0.9507070581118265,0.0010075716321978356,64.18156814575195,269441
