,precision,recall,f1-score,support
0,0.9826883910386965,0.9846938775510204,0.9836901121304791,980.0
1,0.9920353982300885,0.9876651982378855,0.9898454746136865,1135.0
2,0.9665391969407265,0.9796511627906976,0.973051010587103,1032.0
3,0.9760956175298805,0.9702970297029703,0.9731876861966237,1010.0
4,0.9896157840083074,0.9704684317718941,0.979948586118252,982.0
5,0.9764309764309764,0.9753363228699552,0.975883342680875,892.0
6,0.9762150982419855,0.9853862212943633,0.9807792207792208,958.0
7,0.9889224572004028,0.9552529182879378,0.9717961405244928,1028.0
8,0.9585858585858585,0.9743326488706365,0.9663951120162932,974.0
9,0.9535783365570599,0.977205153617443,0.9652471855115027,1009.0
accuracy,0.9761,0.9761,0.9761,0.9761
macro avg,0.9760707114763981,0.9760288964994805,0.975982387115853,10000.0
weighted avg,0.9762748473996208,0.9761,0.9761192758048995,10000.0
